Data Set No,Metallic Materials,Atomic/Molecular Weight(u),Density(g/cc),Temperature (K) at which test was performed,Melting Point(K),Strain rate,Heat capacity(KJ/kg.k),BCC,FCC,HCP,a,b,c,alpha,beta,gamma,Grain size(um),Yield point(stress),Elastic modulus
72,Aluminum,26.981,2.687,348,933.5,0.001,0.93,0,1,0,4.049,4.049,4.049,90,90,90,1500,163.647,2727.283
73,Aluminum,26.981,2.679,373,933.5,0.001,0.93,0,1,0,4.049,4.049,4.049,90,90,90,1500,114.822,1794.093
74,Aluminum,26.981,2.678,398,933.5,0.001,0.93,0,1,0,4.049,4.049,4.049,90,90,90,1500,142.937,2233.39
75,Aluminum,26.981,2.676,423,933.5,0.001,0.93,0,1,0,4.049,4.049,4.049,90,90,90,1500,151.315,2521.916
76,Aluminum,26.981,2.67,448,933.5,0.001,0.93,0,1,0,4.049,4.049,4.049,90,90,90,1500,86.676,1444.6
77,Aluminum,26.981,2.666,473,933.5,0.001,0.93,0,1,0,4.049,4.049,4.049,90,90,90,1500,91.79,1529.833
78,Aluminum,26.981,2.66,498,933.5,0.001,0.93,0,1,0,4.049,4.049,4.049,90,90,90,1500,134.401,2240.016
79,Molybednum,95.95,10.22,296,2896,3300,0.25,1,0,0,3.147,3.147,3.147,90,90,90,0.7,1499.432,74971.6
80,Molybednum,95.95,10.22,398,2896,3300,0.25,1,0,0,3.147,3.147,3.147,90,90,90,0.7,1305.617,65280.85
81,Molybednum,95.95,10.22,498,2896,3300,0.25,1,0,0,3.147,3.147,3.147,90,90,90,0.7,1088.654,54432.7
82,Molybednum,95.95,10.22,598,2896,3300,0.25,1,0,0,3.147,3.147,3.147,90,90,90,0.7,848.333,42416.649
83,Molybednum,95.95,10.22,798,2896,3300,0.25,1,0,0,3.147,3.147,3.147,90,90,90,0.7,564.323,28216.149
84,Molybednum,95.95,10.22,398,2896,8000,0.25,1,0,0,3.147,3.147,3.147,90,90,90,0.7,1361.449,34036.225
85,Molybednum,95.95,10.22,598,2896,8000,0.25,1,0,0,3.147,3.147,3.147,90,90,90,0.7,970.057,32335.233
86,Molybednum,95.95,10.22,798,2896,8000,0.25,1,0,0,3.147,3.147,3.147,90,90,90,0.7,691.804,17295.1
87,Molybednum,95.95,10.22,998,2896,8000,0.25,1,0,0,3.147,3.147,3.147,90,90,90,0.7,532.801,10656.02
88,Niobium,92.906,8.57,77,2750,3300,0.26,1,0,0,3.3,3.3,3.3,90,90,90,50,1063.625,53181.25
89,Niobium,92.906,8.57,190,2750,3300,0.26,1,0,0,3.3,3.3,3.3,90,90,90,50,793.083,39654.149
90,Niobium,92.906,8.57,296,2750,3300,0.26,1,0,0,3.3,3.3,3.3,90,90,90,50,599.673,29983.649
91,Niobium,92.906,8.57,400,2750,3300,0.26,1,0,0,3.3,3.3,3.3,90,90,90,50,534.267,26713.35
92,Niobium,92.906,8.57,500,2750,3300,0.26,1,0,0,3.3,3.3,3.3,90,90,90,50,368.571,18428.55
93,Niobium,92.906,8.57,700,2750,3300,0.26,1,0,0,3.3,3.3,3.3,90,90,90,50,270.364,13518.199
94,Niobium,92.906,8.57,296,2750,8000,0.26,1,0,0,3.3,3.3,3.3,90,90,90,50,687.898,34394.9
95,Niobium,92.906,8.57,500,2750,8000,0.26,1,0,0,3.3,3.3,3.3,90,90,90,50,471.643,23582.149
96,Niobium,92.906,8.57,700,2750,8000,0.26,1,0,0,3.3,3.3,3.3,90,90,90,50,282.526,14126.3
97,Niobium,92.906,8.57,900,2750,8000,0.26,1,0,0,3.3,3.3,3.3,90,90,90,50,237.627,11881.35
